,0.005,0.015,0.025,0.035,0.045,0.055
CumRet,3.928167499999998,1.94711,3.6665124999999996,-0.03842500000000004,1.00788,0.03427000000000002
AvgDR,0.004031713949625368,0.004480960097841378,0.0035513050276805578,0.0506708293044578,0.0023934213578040093,0.0019337985012941943
StdDR,0.04223702949981169,0.0706549490499309,0.031490662881576155,0.8175271260841737,0.04538176564341813,0.061771763784981906
SR,1.5152929921039464,1.0067665079184036,1.7902201617622788,0.9839116681581235,0.8372170106949146,0.49696006135843135
