,In Sample,Out Of Sample
CumRet,2.893935000000005,0.6324075000000018
AvgDR,0.003440000852566717,0.001496595815651332
StdDR,0.03895032315902253,0.032472641654720205
SR,1.4019991662585378,0.7316227087704873
