,In Sample,Out Of Sample
CumRet,4.624747500000001,0.13867749999999934
AvgDR,0.004296564239567457,0.0009328350969951739
StdDR,0.041929836085378314,0.03681467607267725
SR,1.6266660971574278,0.40223898903955185
